product_code,product_name,price_krw,color,status,material_body,material_trim,material_lining,hardware,dimensions,strap_length,handle_drop,origin_country,design_features,color_variants,image_urls,video_urls,product_url
MMKGAVE02CO001,Stark 디스코 비세토스 백팩,2150000,Cognac,ACTIVE,비세토스 모노그램 캔버스,나파 가죽,코튼 트윌,로고 브라스 플레이트 | 24K 골드 도금 브라스 하드웨어,16 x 33 x 43,76 cm - 90 cm,8 cm,대한민국,"길이 조절이 가능한 로고 우븐 숄더 스트랩 | 가죽 탑 핸들 | MCM Disco 모티프 | 앞면 지퍼 포켓 | 외부 사이드 슬립 포켓 | 양방향 지퍼 클로저 | 13"" 노트북 혹은 태블릿 수납을 위한 내부 슬립포켓",,https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGAVE02CO001_10,,https://kr.mcmworldwide.com/ko_KR/stark-디스코-비세토스-백팩/MMKGAVE02CO001.html
MMKDAVE02BK001,Stark 맥시 모노그램 레더 백팩,2390000,Black,ACTIVE,천연 나파 가죽,,스웨이드 마감 마이크로파이버,다크 금속 장식,15 x 33 x 42,75cm~89cm,7.5cm,대한민국,로고 우븐 패브릭 어깨 스트랩 | 가죽 손잡이 부분 | 엠보스드 맥시 비세토스 모노그램 | 전면 지퍼 수납공간 | 옆면 슬립 포켓 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북과 태블릿을 위한 슬리브 | 패딩 뒷면 패널,MMKDAVE02VC001,https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_11 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02BK001_12,https://images.mcmworldwide.com/v/mcmworldwide/MMKDAVE02BK001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/stark-맥시-모노그램-레더-백팩/MMKDAVE02BK001.html
MMKDAVE02VC001,Stark 맥시 모노그램 레더 백팩,2390000,Blue,ACTIVE,천연 나파 가죽,,스웨이드 마감 마이크로파이버,실버톤 코발트 금속 장식,15 x 33 x 42,75cm~89cm,7.5cm,대한민국,조절 가능한 어깨 스트랩 | 레더 손잡이 부분 | 엠보스드 맥시 모노그램 | 전면 지퍼 수납공간 | 외부 측면 포켓 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북과 태블릿을 위한 슬리브 | 패딩 뒷면 패널,MMKDAVE02BK001,https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_11,https://images.mcmworldwide.com/v/mcmworldwide/MMKDAVE02VC001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/stark-맥시-모노그램-레더-백팩/MMKDAVE02VC001.html
MMKEAVE12CO001,Stark 사이드 스터드 비세토스 백팩,1890000,Cognac,ACTIVE,비세토스 모노그램 캔버스,천연 나파 가죽,인조 나파,24K 도금 금속 장식,16 x 33 x 41,76cm~90cm,8cm,대한민국,조절 가능한 어깨 스트랩 | 가죽 손잡이 부분 | MCM 로고 플레이트 | 전면 지퍼 수납공간 | 외부 사이드 포켓과 스터드 장식 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북과 태블릿을 위한 슬리브,MMKEAVE12BK001 | MMKGSVE01K8001,https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12CO001_11,https://images.mcmworldwide.com/v/mcmworldwide/MMKEAVE12CO001_VID/webm_720p | https://images.mcmworldwide.com/v/mcmworldwide/MMKEAVE12CO001_VID_01/webm_720p,https://kr.mcmworldwide.com/ko_KR/stark-사이드-스터드-비세토스-백팩/MMKEAVE12CO001.html
MMKEAVE12BK001,Stark 사이드 스터드 비세토스 백팩,1890000,Black,ACTIVE,비세토스 모노그램 캔버스,천연 나파 가죽,인조 나파,코발트 금속 장식 | 다크톤 코발트 금속 장식,16 x 33 x 41,76cm~90cm,8cm,대한민국,조절 가능한 어깨 스트랩 | 가죽 손잡이 부분 | MCM 로고 플레이트 | 전면 지퍼 수납공간 | 외부 사이드 포켓과 스터드 장식 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북과 태블릿을 위한 슬리브,MMKEAVE12CO001 | MMKGSVE01K8001,https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE12BK001_11,,https://kr.mcmworldwide.com/ko_KR/stark-사이드-스터드-비세토스-백팩/MMKEAVE12BK001.html
MMKGSVE01K8001,Stark 비세토스 사이드 스터드 백팩,1890000,Green,ACTIVE,비세토스 모노그램 캔버스,나파 가죽,스웨이드 마감의 극세사,로고 브라스 플레이트 | 실버톤 코발트 브라스 하드웨어,16 x 33 x 43,77 cm - 92 cm,8 cm,대한민국,길이 조절이 가능한 숄더 스트랩 | 가죽 탑 핸들 | 앞면 지퍼 포켓 | 스터드 장식 디테일이 더해진 외부 측면 포켓 | 양방향 지퍼 클로저 | 13인치 랩탑과 태블릿 수납을 위한 내부 슬리브,MMKEAVE12BK001 | MMKEAVE12CO001,https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE01K8001_10,,https://kr.mcmworldwide.com/ko_KR/stark-비세토스-사이드-스터드-백팩/MMKGSVE01K8001.html
MMKEAVE14CO001,스타크 사이드 스터드 비세토스 백팩,1750000,Cognac,ACTIVE,비세토스 모노그램 캔버스,천연 나파 가죽,인조 나파,코발트 금속 장식 | 24K 도금 메탈 금속 장식,13 x 30 x 38,71cm ~ 87cm,7.5cm,대한민국,조절 가능한 어깨 스트랩 | 가죽 손잡이 부분 | MCM 로고 플레이트. | 전면 지퍼 수납공간 | 외부 사이드 포켓과 피라미드 모양 스터드 장식 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북 또는 태블릿을 위한 슬리브,MMKEAVE14BK001,https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14CO001_11,,https://kr.mcmworldwide.com/ko_KR/스타크-사이드-스터드-비세토스-백팩/MMKEAVE14CO001.html
MMKEAVE14BK001,스타크 사이드 스터드 비세토스 백팩,1750000,Black,ACTIVE,비세토스 모노그램 캔버스,천연 나파 가죽,인조 나파,24K 도금 금속 장식 | 다크 톤 코발트 메탈 하드웨어.,13 x 30 x 38,71cm ~ 87cm,7.5cm,대한민국,조절 가능한 어깨 스트랩 | 가죽 손잡이 부분 | MCM 로고 플레이트. | 전면 지퍼 수납공간 | 외부 사이드 포켓과 피라미드 모양 스터드 장식 | 양방향 지퍼 클로저 | 내부 포켓 및 13인치 노트북 또는 태블릿을 위한 슬리브 | MCM 로고 플레이트,MMKEAVE14CO001,https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE14BK001_11,,https://kr.mcmworldwide.com/ko_KR/스타크-사이드-스터드-비세토스-백팩/MMKEAVE14BK001.html
MMKGSVE09BK001,Stark 모노그램 나일론 패커블 백팩,930000,Black,ACTIVE,100% 나일론,천연 가죽,100% 나일론,로고 브라스 플레이트 | 무광 블랙 메탈 하드웨어,14 x 32 x 41,76 cm to 90 cm,8 cm,대한민국,길이 조절이 가능한 숄더 스트랩 | 탑 핸들 | 지퍼 파우치로 변형 가능한 패커블 디자인 | 비세토스 모노그램 전면 프린트 | 앞면 지퍼 포켓 | 양방향 지퍼 클로저,MMKEAVE05CO001,https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGSVE09BK001_11,https://images.mcmworldwide.com/v/mcmworldwide/MMKGSVE09BK001_VID/webm_720p,https://kr.mcmworldwide.com/ko_KR/stark-모노그램-나일론-패커블-백팩/MMKGSVE09BK001.html
MMKEAVE05CO001,스타크 모노그램 나일론 패커블 백팩,930000,Cognac,ACTIVE,나일론 100%,천연 나파 가죽,나일론 100%,다크 톤 금속 장식,14 x 32 x 41,76cm ~ 90cm,8cm,대한민국,조절 가능한 어깨 스트랩 | 손잡이 부분 | 지퍼 파우치로 변형되는 패커블 디자인 | 전면 지퍼 수납공간 | 앞면의 MCM 로고 플레이트. | 양방향 지퍼 클로저,MMKGSVE09BK001,https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE05CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE05CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE05CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE05CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE05CO001_05,,https://kr.mcmworldwide.com/ko_KR/스타크-모노그램-나일론-패커블-백팩/MMKEAVE05CO001.html
